Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,48,32812,28553,25013,0,2507,127,1752,5853,118,322
\\192.168.0.108\htdocs\teranex\themes\site\css,48,32812,28553,25013,0,2507,127,1752,5853,118,322
