Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,2,15971,14524,0,0,496,14,951,1439,16,44
\\192.168.0.108\htdocs\teranex,2,15971,14524,0,0,496,14,951,1439,16,44
\\192.168.0.108\htdocs\teranex\ecommerce,1,8398,7667,0,0,251,7,480,727,8,22
