File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
\\192.168.0.108\htdocs\teranex\teranex_new (12).sql,7573,6857,0,0,245,7,471,712,8,22
\\192.168.0.108\htdocs\teranex\ecommerce\teranex_new_ecommerce_db.sql,8398,7667,0,0,251,7,480,727,8,22
