File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,function(createNewLexicalScope),18,17,13,5,1,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,"function(node, init)",11,11,10,1,0,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,"function(node, init)",16,16,11,3,0,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,"function(node, isFor, kind)",21,20,17,4,1,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,"function(decl, kind)",3,3,3,0,0,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,"function(node, isStatement, allowExpressionBody, isAsync)",35,30,23,6,5,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,function(node),4,4,4,0,0,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,"function(node, isStatement)",20,18,15,4,2,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,function(classBody),53,49,40,17,4,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,"function(classBody, method, isGenerator, isAsync)",3,3,3,0,0,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,"function(node, isStatement)",2,2,2,0,0,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,function(node),2,2,2,0,0,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,"function(node, exports)",57,51,40,13,3,2,3,26,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,"function(exports, name, pos)",5,5,4,2,0,0,0,0,
