File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn-jsx\node_modules\acorn\src\loose\expression.js,515,462,93,100,46,1,7,56,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn-jsx\node_modules\acorn\src\loose\index.js,51,15,3,1,6,0,30,190,30,190
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn-jsx\node_modules\acorn\src\loose\parseutil.js,1,1,1,0,0,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn-jsx\node_modules\acorn\src\loose\state.js,161,135,39,37,24,2,2,8,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn-jsx\node_modules\acorn\src\loose\statement.js,426,389,60,93,35,0,2,22,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn-jsx\node_modules\acorn\src\loose\tokenize.js,109,81,29,17,7,1,21,66,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn-jsx\node_modules\acorn\src\walk\index.js,343,284,64,63,22,0,37,291,16,98
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv\.tonic_example.js,20,16,17,1,4,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv\dist\ajv.bundle.js,8023,6655,5249,1237,651,101,717,4821,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv\dist\ajv.min.js,6,4,638,0,0,2,2,1011,1,984
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv\dist\nodent.min.js,8,7,1566,3,0,3,1,243,1,20
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv\dist\regenerator.min.js,32,29,5873,3,0,7,3,5261,1,14
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv\lib\ajv.js,421,288,219,59,68,2,65,516,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv\lib\async.js,219,170,126,38,32,0,17,97,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv\lib\cache.js,27,16,18,1,11,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv\lib\keyword.js,130,88,58,21,21,1,21,111,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv\lib\v5.js,53,41,29,3,12,2,0,4,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv\lib\compile\equal.js,46,32,23,19,13,0,1,3,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv\lib\compile\formats.js,165,116,221,23,32,0,17,44,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv\lib\compile\index.js,391,293,182,56,55,0,43,239,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv\lib\compile\resolve.js,268,208,149,66,34,1,26,142,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv\lib\compile\rules.js,41,34,27,2,7,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv\lib\compile\schema_obj.js,10,6,5,0,4,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv\lib\compile\ucs2length.js,21,16,11,4,2,1,3,14,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv\lib\compile\util.js,258,207,122,51,51,4,0,10,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv\lib\compile\validation_error.js,15,9,8,0,6,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv\lib\compile\_rules.js,29,26,3,0,2,0,1,12,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv\lib\dotjs\allOf.js,44,43,35,7,1,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv\lib\dotjs\anyOf.js,66,65,62,10,1,1,0,4,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv\lib\dotjs\constant.js,53,52,47,8,1,2,0,8,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv\lib\dotjs\custom.js,221,220,194,39,1,4,0,16,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv\lib\dotjs\dependencies.js,148,147,129,26,1,3,0,12,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv\lib\dotjs\enum.js,66,65,58,11,1,2,0,8,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv\lib\dotjs\format.js,139,138,114,31,1,2,0,8,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv\lib\dotjs\items.js,145,144,130,22,1,2,0,8,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv\lib\dotjs\multipleOf.js,77,76,66,13,1,2,0,8,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv\lib\dotjs\not.js,84,83,79,14,1,3,0,12,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv\lib\dotjs\oneOf.js,77,76,71,11,1,2,0,8,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv\lib\dotjs\pattern.js,75,74,64,12,1,2,0,8,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv\lib\dotjs\patternRequired.js,52,51,45,8,1,1,0,4,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv\lib\dotjs\properties.js,446,445,369,81,1,8,0,32,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv\lib\dotjs\ref.js,120,119,104,21,1,2,0,8,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv\lib\dotjs\required.js,250,249,212,50,1,7,0,28,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv\lib\dotjs\switch.js,129,128,115,19,1,4,0,16,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv\lib\dotjs\uniqueItems.js,72,71,66,13,1,2,0,8,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv\lib\dotjs\validate.js,376,373,301,75,3,6,0,24,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv\lib\dotjs\_formatLimit.js,177,176,148,30,1,4,0,16,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv\lib\dotjs\_limit.js,125,124,103,20,1,4,0,16,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv\lib\dotjs\_limitItems.js,77,76,67,12,1,2,0,8,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv\lib\dotjs\_limitLength.js,82,81,71,13,1,2,0,8,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv\lib\dotjs\_limitProperties.js,77,76,67,12,1,2,0,8,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv\scripts\bundle.js,55,45,34,9,10,1,0,16,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv\scripts\compile-dots.js,74,61,51,3,12,3,1,10,1,6
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv-keywords\index.js,36,22,17,9,8,0,6,31,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv-keywords\keywords\deepProperties.js,56,49,39,10,7,2,0,2,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv-keywords\keywords\deepRequired.js,58,48,32,11,10,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv-keywords\keywords\dynamicDefaults.js,69,59,46,10,10,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv-keywords\keywords\formatMaximum.js,4,2,2,0,2,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv-keywords\keywords\formatMinimum.js,4,2,2,0,2,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv-keywords\keywords\if.js,22,18,18,5,4,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv-keywords\keywords\index.js,19,13,3,0,2,0,4,8,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv-keywords\keywords\instanceof.js,55,47,29,10,7,0,1,4,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv-keywords\keywords\patternRequired.js,25,21,10,3,4,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv-keywords\keywords\prohibited.js,26,22,22,5,4,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv-keywords\keywords\propertyNames.js,52,46,30,11,6,2,0,2,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv-keywords\keywords\range.js,40,33,18,4,7,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv-keywords\keywords\regexp.js,37,32,22,5,5,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv-keywords\keywords\switch.js,40,35,17,4,5,2,0,2,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv-keywords\keywords\typeof.js,33,29,17,3,4,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv-keywords\keywords\_formatLimit.js,93,79,53,19,14,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv-keywords\keywords\dotjs\patternRequired.js,53,52,46,8,1,1,0,4,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv-keywords\keywords\dotjs\switch.js,130,129,116,19,1,4,0,16,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv-keywords\keywords\dotjs\_formatLimit.js,177,176,148,30,1,4,0,16,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ansi-escapes\index.js,107,81,75,19,26,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ansi-regex\index.js,5,4,6,1,1,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ansi-styles\index.js,66,56,21,1,9,1,1,12,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\argparse\index.js,4,2,2,0,2,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\argparse\lib\action.js,147,40,38,9,11,1,96,496,29,133
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\argparse\lib\action_container.js,483,293,256,44,69,1,121,626,5,15
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\argparse\lib\argparse.js,15,12,9,0,3,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\argparse\lib\argument_parser.js,1162,734,600,151,164,0,264,1501,7,21
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\argparse\lib\const.js,22,9,9,0,10,0,3,1,3,1
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\argparse\lib\namespace.js,77,27,25,7,7,0,43,167,10,35
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\argparse\lib\utils.js,58,48,43,18,10,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\argparse\lib\action\append.js,54,22,19,2,7,0,25,117,8,40
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\argparse\lib\action\count.js,41,12,13,0,6,0,23,96,9,35
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\argparse\lib\action\help.js,48,20,20,1,7,0,21,74,6,18
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\argparse\lib\action\store.js,51,20,17,2,8,0,23,89,8,27
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\argparse\lib\action\subparsers.js,150,71,61,6,32,0,47,200,7,24
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\argparse\lib\action\version.js,48,19,20,0,6,0,23,77,6,19
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\argparse\lib\action\append\constant.js,48,17,17,1,6,0,25,122,11,61
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\argparse\lib\action\store\constant.js,44,15,15,1,5,0,24,117,10,56
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\argparse\lib\action\store\false.js,28,10,11,0,5,0,13,43,8,28
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\argparse\lib\action\store\true.js,27,10,11,0,4,0,13,41,8,27
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\argparse\lib\argument\error.js,51,21,19,3,9,0,21,90,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\argparse\lib\argument\exclusive.js,55,25,25,2,10,0,20,107,12,60
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\argparse\lib\argument\group.js,76,32,32,2,15,0,29,130,12,60
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\argparse\lib\help\added_formatters.js,88,42,36,7,18,0,28,144,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\argparse\lib\help\formatter.js,796,492,427,82,114,3,190,791,13,67
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\aria-query\lib\ariaMap.js,19,12,12,1,7,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\aria-query\lib\domMap.js,19,12,12,1,7,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\aria-query\lib\elementRoleMap.js,31,23,24,3,7,0,1,7,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\aria-query\lib\index.js,34,21,21,0,13,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\aria-query\lib\roleElementMap.js,31,23,24,3,7,0,1,7,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\aria-query\lib\rolesMap.js,19,12,12,1,7,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\array-flatten\array-flatten.js,65,30,10,9,10,0,25,77,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\array-union\index.js,7,5,5,1,2,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\array-uniq\index.js,63,43,34,11,14,0,6,45,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\array.prototype.find\implementation.js,23,20,16,7,3,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\array.prototype.find\index.js,27,19,16,1,8,1,0,2,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\array.prototype.find\polyfill.js,14,7,7,2,3,0,4,18,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\array.prototype.find\shim.js,17,12,12,2,5,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\array.prototype.find\tests\test.js,134,110,117,5,24,5,0,10,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\arrify\index.js,9,7,6,3,2,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ast-types-flow\lib\types.js,5046,4877,4848,0,143,0,26,95,3,4
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\axios\index.js,1,1,1,0,0,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\axios\dist\axios.js,1545,841,602,133,254,76,450,2255,1,9
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\axios\dist\axios.min.js,3,1,150,0,0,1,2,36,1,35
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\axios\lib\axios.js,53,26,25,3,13,0,14,68,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\axios\lib\defaults.js,94,66,41,15,12,2,16,40,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\axios\lib\utils.js,300,125,73,28,28,1,147,774,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\axios\lib\adapters\http.js,227,176,132,27,32,1,19,111,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\axios\lib\adapters\xhr.js,178,115,88,18,30,1,33,202,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\axios\lib\cancel\Cancel.js,20,9,8,1,5,0,6,25,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\axios\lib\cancel\CancelToken.js,58,35,29,4,9,0,14,65,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\axios\lib\cancel\isCancel.js,6,4,4,1,2,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\axios\lib\core\Axios.js,86,55,46,6,14,0,17,67,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\axios\lib\core\createError.js,18,6,6,1,3,0,9,51,0,0
