Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\array\#\find,4,36,26,27,1,10,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\array\#\find-index,4,36,26,27,1,10,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\array\#\keys,4,28,19,23,0,9,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\array\#\map,4,38,24,23,0,14,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\array\#\slice,4,36,22,23,0,14,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\array\#\splice,4,38,24,25,0,14,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\array\#\values,4,28,19,23,0,9,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\array\from,4,157,136,93,7,18,0,3,21,1,5
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\array\of,4,108,86,74,1,18,0,4,19,3,11
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\boolean,1,13,11,12,0,2,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\date,10,114,93,90,1,21,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\date\#,6,57,44,41,0,13,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\error,4,53,45,47,1,8,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\error\#,1,11,9,8,0,2,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\function,18,261,197,208,12,59,0,5,13,1,4
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\function\#,9,160,122,127,9,34,0,4,11,1,4
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\iterable,4,140,124,134,2,16,2,0,4,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\json,1,27,25,27,0,2,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\math,74,562,394,408,0,167,0,1,13,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\math\acosh,4,30,21,22,0,9,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\math\asinh,4,29,20,21,0,9,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\math\atanh,4,30,21,22,0,9,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\math\cbrt,4,30,21,22,0,9,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\math\clz32,4,31,22,22,0,9,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\math\cosh,4,32,23,24,0,9,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\math\expm1,4,28,19,20,0,9,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\math\fround,4,28,19,20,0,9,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\math\hypot,4,30,21,21,0,9,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\math\imul,4,28,19,19,0,9,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\math\log10,4,29,20,21,0,9,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\math\log1p,4,29,20,21,0,9,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\math\log2,4,29,20,21,0,9,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\math\sign,4,30,20,21,0,10,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\math\sinh,4,32,23,24,0,9,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\math\tanh,4,30,21,22,0,9,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\math\trunc,4,35,25,26,0,10,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\number,31,235,166,170,0,69,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\number\#,1,8,6,6,0,2,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\number\epsilon,3,20,13,13,0,7,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\number\is-finite,4,27,18,18,0,9,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\number\is-integer,4,28,19,19,0,9,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\number\is-nan,4,26,17,18,0,9,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\number\is-safe-integer,4,30,21,21,0,9,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\number\max-safe-integer,3,20,13,13,0,7,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\number\min-safe-integer,3,20,13,13,0,7,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\object,74,1601,1336,1366,31,261,5,4,35,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\object\assign,4,30,19,23,0,11,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\object\keys,4,31,22,23,0,9,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\object\set-prototype-of,4,71,56,57,2,15,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\promise,2,86,77,66,4,9,4,0,15,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\promise\#,1,33,31,23,2,2,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\reg-exp,26,211,148,149,3,60,0,3,7,1,3
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\reg-exp\#,23,171,114,111,2,54,0,3,7,1,3
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\reg-exp\#\match,4,27,18,18,0,9,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\reg-exp\#\replace,4,24,15,15,0,9,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\reg-exp\#\search,4,24,15,15,0,9,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\reg-exp\#\split,4,24,15,15,0,9,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\reg-exp\#\sticky,2,14,9,9,0,5,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\reg-exp\#\unicode,2,14,9,9,0,5,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\string,53,772,601,566,6,151,4,20,79,16,43
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\string\#,41,592,463,425,3,113,0,16,55,12,35
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\string\#\@@iterator,4,28,19,23,0,9,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\string\#\code-point-at,4,139,115,100,2,17,0,7,28,3,8
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\string\#\contains,4,33,24,24,0,9,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\string\#\ends-with,4,35,22,22,0,10,0,3,7,3,7
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\string\#\normalize,5,38,24,24,0,13,0,1,3,1,3
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\string\#\repeat,4,31,22,22,0,9,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\string\#\starts-with,4,33,20,20,0,10,0,3,9,3,9
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\string\from-code-point,4,92,74,75,2,16,4,2,20,2,4
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\string\raw,4,34,20,19,0,12,0,2,4,2,4
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es6-iterator,16,651,565,576,73,81,1,5,23,2,3
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es6-iterator\#,1,41,35,26,6,6,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es6-iterator\test,8,340,301,375,10,39,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es6-iterator\test\#,1,24,19,27,0,5,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es6-map,22,740,639,522,93,98,4,3,24,2,11
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es6-map\lib,3,102,90,55,14,12,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es6-map\primitive,1,118,113,82,25,5,2,0,4,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es6-map\test,11,338,281,265,11,57,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es6-map\test\lib,3,151,128,117,6,23,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es6-map\test\primitive,1,60,50,41,1,10,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es6-set,32,771,638,541,89,131,6,2,22,2,11
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es6-set\ext,6,81,62,52,10,19,3,0,6,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es6-set\lib,2,85,75,48,10,10,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es6-set\primitive,1,88,83,61,22,5,1,0,2,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es6-set\test,16,367,295,282,11,72,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es6-set\test\ext,6,73,49,47,0,24,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es6-set\test\lib,2,128,112,100,6,16,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es6-set\test\primitive,1,51,42,36,1,9,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es6-symbol,14,277,203,184,32,53,0,21,147,2,20
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es6-symbol\test,7,103,80,86,4,23,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es6-weak-map,14,223,178,165,33,43,1,2,18,1,11
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es6-weak-map\test,7,91,71,83,3,20,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\escape-html,1,79,43,29,12,14,5,22,72,7,23
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\escape-string-regexp,1,12,8,8,2,4,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\escope,41,6823,4747,3895,563,789,12,1287,7702,259,2054
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\escope\lib,8,2454,1505,1236,227,354,7,595,3564,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\escope\powered-test,23,2081,1914,1800,135,144,0,23,23,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\escope\src,8,2077,1222,813,194,262,1,593,3548,213,1676
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\escope\third_party,1,57,13,5,1,11,0,33,256,23,189
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\eslint,324,52639,29691,17384,4286,7987,90,14961,80140,1353,5663
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\eslint-config-airbnb,7,579,293,139,3,109,3,177,745,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\eslint-config-airbnb-base,11,1450,669,167,0,300,26,481,2487,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\eslint-config-airbnb-base\rules,8,1363,595,133,0,290,23,478,2451,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\eslint-config-airbnb-base\test,1,33,22,22,0,8,3,3,36,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\eslint-config-airbnb\rules,2,430,176,39,0,84,2,170,704,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\eslint-config-airbnb\test,2,129,100,91,3,22,1,7,41,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\eslint-import-resolver-node,1,48,36,12,7,9,0,3,18,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\eslint-module-utils,9,604,392,112,103,120,9,92,441,4,17
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\eslint-plugin-import,53,6140,4481,3258,861,1121,109,538,2338,49,185
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\eslint-plugin-import\config,7,114,64,20,0,13,0,37,156,32,125
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\eslint-plugin-import\lib,42,3766,2702,2109,440,800,26,264,1257,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\eslint-plugin-import\lib\core,2,122,87,81,17,32,0,3,7,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\eslint-plugin-import\lib\rules,36,3034,2200,1714,326,647,20,187,901,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\eslint-plugin-import\memo-parser,1,42,29,4,3,12,0,1,12,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\eslint-plugin-import\node_modules,3,2218,1686,1125,418,296,83,236,913,17,60
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\eslint-plugin-import\node_modules\doctrine,3,2218,1686,1125,418,296,83,236,913,17,60
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\eslint-plugin-import\node_modules\doctrine\lib,3,2218,1686,1125,418,296,83,236,913,17,60
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\eslint-plugin-jsx-a11y,198,8997,6276,5274,498,1443,33,1278,5012,534,1622
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\eslint-plugin-jsx-a11y\__mocks__,5,151,132,69,15,19,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\eslint-plugin-jsx-a11y\__tests__,37,3196,2472,2515,18,323,4,401,1094,243,685
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\eslint-plugin-jsx-a11y\__tests__\__util__,1,24,22,9,1,2,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\eslint-plugin-jsx-a11y\__tests__\src,35,3132,2419,2476,17,314,2,399,1085,241,678
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\eslint-plugin-jsx-a11y\__tests__\src\rules,29,2794,2109,2251,17,292,2,393,1067,235,660
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\eslint-plugin-jsx-a11y\__tests__\src\util,6,338,310,225,0,22,0,6,18,6,18
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\eslint-plugin-jsx-a11y\flow,1,9,7,4,0,2,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\eslint-plugin-jsx-a11y\lib,75,2970,1925,1479,249,625,20,420,1932,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\eslint-plugin-jsx-a11y\lib\rules,29,1857,1192,961,150,418,15,247,1075,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\eslint-plugin-jsx-a11y\lib\util,45,1037,660,509,99,205,5,172,854,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\eslint-plugin-jsx-a11y\lib\util\implicitRoles,38,730,477,340,60,142,3,111,421,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\eslint-plugin-jsx-a11y\scripts,5,227,162,102,12,42,3,23,54,0,4
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\eslint-plugin-jsx-a11y\scripts\boilerplate,3,95,53,33,0,25,2,17,31,0,4
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\eslint-plugin-jsx-a11y\src,75,2444,1578,1105,204,432,6,434,1932,291,933
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\eslint-plugin-jsx-a11y\src\rules,29,1712,1119,839,110,332,1,261,1075,200,601
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\eslint-plugin-jsx-a11y\src\util,45,657,387,258,94,98,5,172,854,90,329
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\eslint-plugin-jsx-a11y\src\util\implicitRoles,38,421,250,157,60,60,3,111,421,90,329
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\eslint-plugin-react,71,12670,9009,5474,1691,1531,90,2130,10496,344,1503
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\eslint-plugin-react\lib,67,10310,7189,4313,1265,1227,7,1894,9583,327,1443
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\eslint-plugin-react\lib\rules,61,9480,6623,3910,1119,1146,4,1711,8534,306,1367
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\eslint-plugin-react\lib\util,6,830,566,403,146,81,3,183,1049,21,76
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\eslint-plugin-react\node_modules,3,2218,1686,1125,418,296,83,236,913,17,60
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\eslint-plugin-react\node_modules\doctrine,3,2218,1686,1125,418,296,83,236,913,17,60
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\eslint-plugin-react\node_modules\doctrine\lib,3,2218,1686,1125,418,296,83,236,913,17,60
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\eslint-restricted-globals,1,61,60,0,0,1,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\eslint\bin,1,76,42,36,4,17,0,17,54,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\eslint\conf,4,434,373,53,2,23,1,38,112,17,55
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\eslint\lib,319,52129,29276,17295,4280,7947,89,14906,79974,1336,5608
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\eslint\lib\code-path-analysis,7,3068,1525,1041,254,460,6,1083,5091,36,145
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\eslint\lib\config,8,2492,1261,949,194,375,8,856,4704,34,122
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\eslint\lib\formatters,12,946,511,425,76,200,0,235,974,48,130
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\eslint\lib\internal-rules,2,320,173,104,32,54,0,93,499,8,34
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\eslint\lib\rules,244,36257,21498,11994,2984,5505,57,9254,48700,999,4260
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\eslint\lib\testers,2,632,323,241,46,100,2,209,1046,8,24
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\eslint\lib\token-store,13,1318,539,323,81,151,1,628,4069,52,213
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\eslint\lib\util,17,2142,917,607,163,329,6,896,5128,95,491
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\eslint\lib\util\patterns,1,38,2,2,0,5,0,31,260,31,260
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\espree,6,1496,887,502,147,231,7,378,2183,101,785
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\espree\lib,5,695,422,172,40,97,0,176,868,44,291
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\esprima,3,7077,6626,4824,1073,100,201,351,2289,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\esprima\bin,2,377,280,232,24,41,1,56,460,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\esprima\dist,1,6700,6346,4592,1049,59,200,295,1829,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\esquery,2,2917,2648,2057,599,183,6,86,514,1,6
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\esrecurse,2,211,111,73,17,19,1,81,476,44,377
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\estraverse,2,921,689,413,115,121,10,111,726,50,391
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\esutils,4,481,315,156,80,60,12,106,853,93,762
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\esutils\lib,4,481,315,156,80,60,12,106,853,93,762
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\etag,1,132,52,8,14,25,0,55,138,5,13
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\event-emitter,14,829,678,659,65,141,3,10,58,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\event-emitter\benchmark,2,158,118,124,18,30,0,10,52,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\event-emitter\test,6,393,330,357,2,63,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\exit-hook,1,31,23,20,3,8,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\express,13,4090,1834,1391,397,674,5,1582,5813,82,266
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\express\lib,11,4062,1819,1379,393,668,5,1575,5790,75,243
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\express\lib\middleware,2,92,36,29,6,20,0,36,108,14,46
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\express\lib\router,3,1062,572,427,133,205,1,285,1098,21,69
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\express\node_modules,1,16,13,10,4,3,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\express\node_modules\setprototypeof,1,16,13,10,4,3,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\fast-levenshtein,1,137,82,64,15,23,0,32,142,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\figures,1,148,137,22,5,10,0,1,9,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\file-entry-cache,1,217,133,108,17,29,0,55,276,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\finalhandler,1,332,150,35,35,61,0,121,360,5,13
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\find-up,1,54,41,38,8,13,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\flat-cache,2,238,110,98,13,26,2,102,594,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\follow-redirects,3,190,121,108,14,27,0,42,326,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\foreach,2,177,151,157,5,26,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\forwarded,1,77,38,8,11,13,2,26,71,5,13
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\fresh,1,138,69,15,25,25,2,44,129,6,18
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\fs.realpath,2,371,253,175,58,57,1,61,495,20,169
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\function-bind,3,312,270,269,16,40,0,2,6,1,2
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\function-bind\test,1,253,224,232,7,28,0,1,2,1,2
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\generate-function,3,122,95,25,17,26,1,1,19,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\generate-object-property,2,25,19,4,2,6,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\glob,3,1519,1072,183,324,268,13,179,1285,39,213
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\globals,1,2,1,1,0,1,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\globby,1,66,52,42,9,14,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\graceful-fs,4,735,575,212,141,113,4,47,380,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\has,2,15,10,11,0,5,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\has-ansi,1,5,4,4,0,1,1,0,4,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\has-symbols,6,193,119,117,22,48,1,26,101,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\has-symbols\test,4,136,85,83,4,32,0,19,50,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\has-symbols\test\shams,2,58,39,37,2,15,0,4,12,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\has\src,1,4,2,2,0,2,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\has\test,1,11,8,9,0,3,0,0,0,0,0
